Timestamp(ms),Verificados,Fallidos
0,0,0
214,0,0
415,4,1
616,9,1
816,15,1
1018,19,1
1218,24,2
1420,27,3
1621,31,5
1823,36,6
2024,37,9
2226,40,11
2427,42,14
2627,46,17
2830,47,21
3030,50,21
3231,54,23
3432,56,25
3634,60,26
3835,63,27
4036,66,28
4237,69,31
4438,73,34
4639,77,35
4840,80,36
5043,83,40
5243,84,41
5444,87,43
5646,91,45
5846,95,47
6047,98,49
6248,101,50
6449,106,51
6650,110,52
6851,113,53
7052,119,53
7253,122,54
7454,126,56
7655,130,56
7857,133,58
8057,136,58
8258,139,62
8460,142,63
8661,147,63
8863,150,65
9064,156,65
9265,161,65
9466,166,66
9667,170,67
9867,173,69
10068,177,69
10269,182,69
10471,185,70
10672,190,71
10874,194,72
11075,197,75
11277,201,76
11477,204,79
11678,206,82
11879,208,83
12079,212,86
12280,215,88
12480,220,89
12681,223,89
12882,228,90
13082,232,91
13285,236,91
13486,241,92
13686,245,92
13887,249,92
14089,254,95
14290,257,98
14490,259,99
14691,262,99
14892,268,101
15093,270,102
15294,275,102
15494,280,103
15695,283,105
15895,286,106
16096,289,109
16297,293,111
16498,297,112
16700,301,112
16901,304,113
17103,307,115
17304,309,117
17507,313,119
17709,317,119
17910,321,119
18110,324,121
18311,327,122
18513,331,124
18714,335,124
18916,340,126
19117,342,126
19319,347,127
19522,350,128
19724,355,129
19924,359,132
20125,361,132
20327,364,135
